deal_id,empresa_id,nome_empresa,cnpj,pipeline,etapa,vendedor_id,vendedor_nome,data_criacao,data_fechamento,dias_ciclo,vl_mrr,vl_setup,receita_total,sigla_proposta,motivo_perda,ultima_atualizacao
CBE5793D-5,04FC3925,da Mata - ME,54.379.937/1240-00,MIDDLE,Prospecção,V006,Gabriel Rocha,2025-01-14,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-02-20
C93B0EC7-E,80060E8D,Alves e Filhos,10.433.218/1960-00,CORPORATE,Qualificação,V002,Bruno Carvalho,2024-12-07,,,0.0,0.0,0.0,PROP PARCEIRO,,2024-12-26
7AF0A5D1-B,2BD2BACE,da Luz Moura - EI,84.124.118/2449-00,MIDDLE,Prospecção,V004,Diego Souza,2025-12-14,,,0.0,0.0,0.0,PROP PARCEIRO,,2026-02-09
6FF6920D-5,A8114FDD,Rocha,90.659.401/3990-00,MIDDLE,Prospecção,V004,Diego Souza,2026-02-10,,,0.0,0.0,0.0,PROP,,2026-03-02
9E309A0C-E,5A3233A0,Martins Porto Ltda.,95.269.495/8887-00,CORPORATE,Prospecção,V005,Fernanda Lima,2025-10-01,,,0.0,0.0,0.0,PROP,,2025-11-01
D5A2A4F9-7,8D98014F,Lopes Cardoso S/A,99.650.752/7354-00,CORPORATE,Prospecção,V007,Helena Costa,2024-07-24,,,0.0,0.0,0.0,PROP NEOGRID,,2024-08-17
2B8F3789-6,3BDE734F,Azevedo,97.700.886/0084-00,CORPORATE,Prospecção,V002,Bruno Carvalho,2025-04-16,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-04-28
4F4049A1-D,CE107748,Ribeiro,70.805.310/0330-00,CORPORATE,Proposta enviada,V002,Bruno Carvalho,2025-09-14,,,0.0,0.0,0.0,PROP,,2025-09-20
8D8BF8B0-6,086BB693,Araújo Ltda.,97.881.914/8580-00,MIDDLE,Qualificação,V006,Gabriel Rocha,2025-11-13,,,0.0,0.0,0.0,PROP NEOGRID,,2025-12-12
F012B7BE-4,2F855BA7,Duarte Pereira - ME,33.959.629/2330-00,MIDDLE,Qualificação,V004,Diego Souza,2025-05-18,,,0.0,0.0,0.0,PROP,,2025-05-28
1CB58634-B,634848EC,da Rosa,34.944.665/7437-00,MIDDLE,Prospecção,V004,Diego Souza,2025-12-20,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-12-30
5AEC82BD-B,7B7329A2,Pimenta,74.451.870/5349-00,CORPORATE,Qualificação,V001,Ana Paula Ferreira,2025-04-14,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-05-23
5F69AFA9-7,F1BAE541,Fernandes Vargas - ME,11.554.262/2189-00,CORPORATE,Proposta enviada,V001,Ana Paula Ferreira,2024-06-25,,,0.0,0.0,0.0,PROP,,2024-08-08
3E6AF230-9,E450BF36,Sá Moraes S/A,96.575.692/4593-00,CORPORATE,Qualificação,V007,Helena Costa,2025-12-28,,,0.0,0.0,0.0,PROP,,2026-01-10
9DE6DF08-1,098791C8,Guerra,42.059.304/0785-00,CORPORATE,Qualificação,V001,Ana Paula Ferreira,2024-06-24,,,0.0,0.0,0.0,PROP PARCEIRO,,2024-07-02
DB8E4FBB-8,136ABA6F,Aragão S.A.,44.472.126/4647-00,MIDDLE,Ganho (MIDDLE),V003,Carla Mendes,2024-11-26,2025-05-08,163.0,2648.28,5192.35,7840.63,PROP,,2024-12-27
9B3A6483-5,C0CDF647,Guerra,98.214.658/4044-00,CORPORATE,Proposta enviada,V005,Fernanda Lima,2024-11-14,,,0.0,0.0,0.0,PROP NEOGRID,,2024-12-02
6E1334C8-3,1F7D8ED3,Alves,74.801.624/5650-00,CORPORATE,Prospecção,V007,Helena Costa,2025-10-03,,,0.0,0.0,0.0,PROP,,2025-10-03
10EE0144-A,CADD2414,Cardoso,37.367.850/8214-00,CORPORATE,Proposta enviada,V001,Ana Paula Ferreira,2024-09-23,,,0.0,0.0,0.0,PROP,,2024-11-11
448E1D6E-E,0690F4FB,Rocha,10.947.775/2047-00,CORPORATE,Negociação,V001,Ana Paula Ferreira,2025-08-14,,,0.0,0.0,0.0,PROP NEOGRID,,2025-08-30
D5BA7CA3-6,55D5913C,Sá S/A,97.278.755/8867-00,MIDDLE,Prospecção,V004,Diego Souza,2026-03-24,,,0.0,0.0,0.0,PROP PARCEIRO,,2026-04-13
99E4D070-0,BA97B2C4,Abreu,04.709.521/4562-00,MIDDLE,Negociação,V003,Carla Mendes,2026-03-18,,,0.0,0.0,0.0,PROP PARCEIRO,,2026-03-28
271371BC-9,44E554CB,Rocha Silveira e Filhos,87.431.527/4205-00,MIDDLE,Qualificação,V008,Igor Nascimento,2024-08-05,,,0.0,0.0,0.0,PROP NEOGRID,,2024-09-26
7DD066CA-C,88A2A8F8,da Luz - EI,93.296.685/1612-00,MIDDLE,Prospecção,V008,Igor Nascimento,2025-03-20,,,0.0,0.0,0.0,PROP NEOGRID,,2025-05-03
9C4C2F6E-3,35EF0143,Vasconcelos,06.296.201/5336-00,MIDDLE,Negociação,V004,Diego Souza,2026-01-08,,,0.0,0.0,0.0,PROP,,2026-01-14
4F4E94FE-9,F88C5216,Silva - ME,66.253.244/7209-00,MIDDLE,Ganho (MIDDLE),V008,Igor Nascimento,2024-09-28,2025-03-25,178.0,7134.28,19117.05,26251.33,PROP NEOGRID,,2024-11-06
25CE3208-C,F40C38B0,Cassiano Novaes e Filhos,93.759.738/3206-00,CORPORATE,Ganho (CORPORATE),V002,Bruno Carvalho,2024-12-25,2025-05-03,129.0,13470.31,67579.8,81050.11,PROP,,2024-12-29
913B3D50-6,F40C38B0,Cassiano Novaes e Filhos,93.759.738/3206-00,MIDDLE,Proposta enviada,V003,Carla Mendes,2024-06-08,,,0.0,0.0,0.0,PROP PARCEIRO,,2024-07-14
756D15D7-D,4283A2A1,Moura,01.938.026/2067-00,CORPORATE,Perdido,V005,Fernanda Lima,2024-11-18,2025-04-05,138.0,0.0,0.0,0.0,PROP NEOGRID,Escolheu concorrente,2024-12-18
8E04DD7A-D,B055FECC,Leão e Filhos,62.316.658/7603-00,MIDDLE,Proposta enviada,V008,Igor Nascimento,2025-12-02,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-12-05
7E06FD3E-2,A77106FC,Gonçalves - EI,49.651.370/9859-00,CORPORATE,Proposta enviada,V002,Bruno Carvalho,2024-12-02,,,0.0,0.0,0.0,PROP,,2024-12-06
54A80F88-F,250EC7C0,Abreu,95.134.332/0037-00,MIDDLE,Qualificação,V006,Gabriel Rocha,2025-07-23,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-08-16
E6213064-C,F6A3D576,Castro,60.466.183/9826-00,MIDDLE,Negociação,V003,Carla Mendes,2025-01-18,,,0.0,0.0,0.0,PROP,,2025-03-13
4FACC9E6-5,5271D9CA,Mendonça - EI,87.072.867/9087-00,MIDDLE,Qualificação,V003,Carla Mendes,2024-12-10,,,0.0,0.0,0.0,PROP NEOGRID,,2025-01-05
4FD1BE04-E,3BD985B4,Azevedo Ltda.,22.332.061/6329-00,CORPORATE,Proposta enviada,V001,Ana Paula Ferreira,2026-01-30,,,0.0,0.0,0.0,PROP PARCEIRO,,2026-02-18
FB12F7F9-7,55D5913C,Sá S/A,97.278.755/8867-00,CORPORATE,Proposta enviada,V007,Helena Costa,2025-05-19,,,0.0,0.0,0.0,PROP,,2025-07-12
322A56BE-B,FED99D3B,da Paz Fogaça S/A,83.806.578/7598-00,MIDDLE,Qualificação,V008,Igor Nascimento,2024-06-30,,,0.0,0.0,0.0,PROP,,2024-08-17
B4665170-9,AB7C34F7,Leão,39.473.121/7271-00,CORPORATE,Prospecção,V005,Fernanda Lima,2024-07-24,,,0.0,0.0,0.0,PROP PARCEIRO,,2024-08-16
E7FEC144-9,3E9184C1,Cavalcanti e Filhos,34.125.286/6929-00,CORPORATE,Prospecção,V002,Bruno Carvalho,2024-12-15,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-01-10
0ADC1CFB-8,098791C8,Guerra,42.059.304/0785-00,CORPORATE,Prospecção,V002,Bruno Carvalho,2025-10-23,,,0.0,0.0,0.0,PROP,,2025-11-21
51B8113E-8,155D1530,Borges,59.770.348/2477-00,CORPORATE,Negociação,V001,Ana Paula Ferreira,2025-03-05,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-04-11
FCB8D5B5-7,B423A580,Mendonça Cunha Ltda.,91.022.901/4767-00,CORPORATE,Negociação,V007,Helena Costa,2025-01-20,,,0.0,0.0,0.0,PROP,,2025-02-20
29DB4110-2,634848EC,da Rosa,34.944.665/7437-00,CORPORATE,Proposta enviada,V001,Ana Paula Ferreira,2024-10-14,,,0.0,0.0,0.0,PROP NEOGRID,,2024-12-12
58596F7A-2,0313E25E,da Rocha,61.125.457/3875-00,CORPORATE,Proposta enviada,V002,Bruno Carvalho,2025-12-23,,,0.0,0.0,0.0,PROP PARCEIRO,,2026-02-17
7281D461-5,84D3FBF9,Rios,89.517.187/0262-00,MIDDLE,Qualificação,V008,Igor Nascimento,2025-03-01,,,0.0,0.0,0.0,PROP,,2025-03-18
34513866-5,6D067F2C,Costa Marques Ltda.,82.337.498/9413-00,MIDDLE,Perdido,V006,Gabriel Rocha,2025-01-25,2025-03-05,39.0,0.0,0.0,0.0,PROP PARCEIRO,Sem retorno,2025-02-13
7C81986D-0,33FA05AC,Pimenta Aparecida e Filhos,69.901.398/3735-00,MIDDLE,Negociação,V004,Diego Souza,2025-10-10,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-11-01
B2E10382-9,125B5B13,Marques,85.289.226/8018-00,CORPORATE,Perdido,V002,Bruno Carvalho,2024-12-04,2025-04-26,143.0,0.0,0.0,0.0,PROP,Sem budget,2025-01-08
C09EB132-8,0D73F4C4,da Costa,42.067.883/1712-00,MIDDLE,Proposta enviada,V008,Igor Nascimento,2024-06-12,,,0.0,0.0,0.0,PROP NEOGRID,,2024-08-07
B9C9EBCC-6,1036BC4F,Machado - ME,61.622.999/1191-00,MIDDLE,Negociação,V003,Carla Mendes,2026-04-08,,,0.0,0.0,0.0,PROP,,2026-04-20
BB59D1C9-B,CC0D7F59,Ribeiro S.A.,32.871.012/2691-00,MIDDLE,Negociação,V004,Diego Souza,2025-07-14,,,0.0,0.0,0.0,PROP,,2025-08-27
532378D6-0,0690F4FB,Rocha,10.947.775/2047-00,MIDDLE,Prospecção,V003,Carla Mendes,2025-05-01,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-06-17
4CFC07A7-6,AD09D08B,Lopes,99.938.677/4964-00,CORPORATE,Negociação,V007,Helena Costa,2025-09-02,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-09-20
8C64AB25-E,A9C1B795,Casa Grande Alves S/A,93.248.086/1317-00,CORPORATE,Perdido,V007,Helena Costa,2025-03-03,2025-08-30,180.0,0.0,0.0,0.0,PROP,Sem budget,2025-03-15
6BCC9B76-A,358F2450,Ribeiro S/A,95.342.836/4408-00,MIDDLE,Ganho (MIDDLE),V006,Gabriel Rocha,2024-09-08,2025-01-30,144.0,11338.3,7501.13,18839.43,PROP PARCEIRO,,2024-09-20
B51E8AC2-8,E14A779C,Pinto,75.705.964/0165-00,MIDDLE,Qualificação,V003,Carla Mendes,2025-10-24,,,0.0,0.0,0.0,PROP,,2025-11-17
9CD4235D-3,05976912,Silva Fernandes S.A.,12.419.049/6631-00,CORPORATE,Qualificação,V005,Fernanda Lima,2025-12-21,,,0.0,0.0,0.0,PROP,,2026-01-11
3EF133A1-3,B714D0D7,Silveira,36.851.604/8175-00,MIDDLE,Negociação,V004,Diego Souza,2026-03-24,,,0.0,0.0,0.0,PROP,,2026-05-12
A0512602-5,E6484C2D,Pereira e Filhos,85.497.334/8434-00,MIDDLE,Qualificação,V006,Gabriel Rocha,2026-02-18,,,0.0,0.0,0.0,PROP,,2026-03-01
65760543-C,A2F8DF9D,Silva das Neves - ME,53.487.401/6400-00,CORPORATE,Negociação,V002,Bruno Carvalho,2025-03-04,,,0.0,0.0,0.0,PROP NEOGRID,,2025-03-18
5314E4C3-6,F1C53C0E,Silveira Jesus - ME,03.690.034/3244-00,CORPORATE,Proposta enviada,V005,Fernanda Lima,2025-04-29,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-06-01
93E14551-8,3DF31231,Monteiro e Filhos,33.334.680/0722-00,MIDDLE,Perdido,V003,Carla Mendes,2026-01-06,2026-07-01,176.0,0.0,0.0,0.0,PROP PARCEIRO,Sem retorno,2026-03-05
5E538755-0,F2130614,da Mata Novaes S.A.,20.297.021/3556-00,CORPORATE,Perdido,V005,Fernanda Lima,2025-04-08,2025-05-12,34.0,0.0,0.0,0.0,PROP NEOGRID,Preço alto,2025-06-05
39A99B26-A,4E9414EC,Peixoto Ltda.,91.699.854/3534-00,MIDDLE,Qualificação,V008,Igor Nascimento,2024-12-21,,,0.0,0.0,0.0,PROP,,2025-01-10
F5A24FF0-D,DAB7368B,da Rocha S/A,27.532.697/3112-00,CORPORATE,Perdido,V002,Bruno Carvalho,2024-10-30,2025-03-20,141.0,0.0,0.0,0.0,PROP PARCEIRO,Escolheu concorrente,2024-12-24
EDB9B4FD-B,5EB47A29,Pimenta,58.514.936/8998-00,MIDDLE,Ganho (MIDDLE),V004,Diego Souza,2024-10-30,2025-02-23,116.0,10051.86,28313.03,38364.89,PROP PARCEIRO,,2024-12-12
DF715677-8,E4E2BA81,Pereira Pereira e Filhos,68.117.758/9178-00,CORPORATE,Prospecção,V005,Fernanda Lima,2026-03-26,,,0.0,0.0,0.0,PROP NEOGRID,,2026-04-30
CBE68AB2-2,B0234779,Silva - EI,03.161.799/0421-00,CORPORATE,Proposta enviada,V002,Bruno Carvalho,2025-08-12,,,0.0,0.0,0.0,PROP NEOGRID,,2025-09-08
E84BF288-C,4471C0A6,Castro Martins - ME,88.095.701/5430-00,MIDDLE,Prospecção,V003,Carla Mendes,2024-11-02,,,0.0,0.0,0.0,PROP,,2024-12-20
671F7D36-9,6D067F2C,Costa Marques Ltda.,82.337.498/9413-00,CORPORATE,Negociação,V001,Ana Paula Ferreira,2025-05-02,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-05-21
5ABC7BC0-5,7F35200B,Vargas,02.606.474/6872-00,CORPORATE,Prospecção,V007,Helena Costa,2025-04-08,,,0.0,0.0,0.0,PROP NEOGRID,,2025-04-18
3A73023F-D,364CD2EC,Dias - ME,62.312.038/7509-00,CORPORATE,Prospecção,V007,Helena Costa,2024-10-22,,,0.0,0.0,0.0,PROP NEOGRID,,2024-12-04
AAA81A8A-F,6FD00BCC,Aragão,39.636.057/6627-00,MIDDLE,Perdido,V003,Carla Mendes,2024-10-14,2025-03-10,147.0,0.0,0.0,0.0,PROP PARCEIRO,Sem retorno,2024-11-08
64E5E543-9,0494E21C,Pinto,80.002.578/7298-00,CORPORATE,Qualificação,V005,Fernanda Lima,2025-09-29,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-10-08
9A84A52D-D,15D2C1B6,Montenegro,93.618.324/2102-00,CORPORATE,Prospecção,V005,Fernanda Lima,2025-10-17,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-12-10
67E9880E-E,E9FA9418,Brito,00.109.439/6907-00,CORPORATE,Ganho (CORPORATE),V007,Helena Costa,2024-07-12,2024-12-04,145.0,10485.84,104035.93,114521.77,PROP NEOGRID,,2024-07-18
3037240F-F,190693B7,Novaes,99.471.746/4887-00,CORPORATE,Negociação,V007,Helena Costa,2025-05-30,,,0.0,0.0,0.0,PROP,,2025-06-05
9BAD4338-F,26BD4132,Novaes,45.961.586/5780-00,MIDDLE,Proposta enviada,V004,Diego Souza,2025-06-12,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-07-01
AE9BE5B2-A,BFAA86F5,da Mata,16.453.521/8188-00,CORPORATE,Proposta enviada,V005,Fernanda Lima,2025-06-14,,,0.0,0.0,0.0,PROP NEOGRID,,2025-06-29
C842DBFD-D,8DA571B6,Pinto Marques e Filhos,77.514.010/5123-00,CORPORATE,Negociação,V007,Helena Costa,2025-07-24,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-08-14
4EC8BA8F-3,2AF4CA37,Aparecida Dias Ltda.,34.768.701/4626-00,MIDDLE,Qualificação,V006,Gabriel Rocha,2025-06-25,,,0.0,0.0,0.0,PROP PARCEIRO,,2025-08-02
6AC67D2C-6,A12932FE,da Paz Santos Ltda.,88.623.924/0758-00,CORPORATE,Ganho (CORPORATE),V002,Bruno Carvalho,2024-10-29,2024-12-23,55.0,24742.6,134087.02,158829.62,PROP,,2024-12-14
