empresa_id,nome_empresa,cnpj,segmento,porte,cidade,estado,data_criacao
80060E8D,Alves e Filhos,10.433.218/1960-00,Tecnologia,Pequena,da Cruz de Goiás,BA,2023-11-08
8E9D2B74,Pastor - ME,33.890.838/6379-00,Varejo,Pequena,Alves,AP,2024-05-06
51FAAFB8,Montenegro Pereira S/A,26.542.351/1615-00,Educação,Média,Silva,RS,2026-05-26
865AC4FF,Câmara,94.078.161/8495-00,Financeiro,Pequena,Pastor de da Mota,SE,2023-06-12
AE6F3E50,Sampaio Lima Ltda.,10.341.316/4752-00,Varejo,Média,Cassiano do Oeste,SP,2024-11-05
545F1A7C,Borges - ME,34.192.832/7648-00,Indústria,Grande,Fogaça,MS,2025-12-25
7965BC2E,Aparecida,50.305.641/3953-00,Logística,Média,Nascimento de Campos,MG,2023-10-02
A63232B5,Pires,67.242.388/4969-00,Saúde,Média,Oliveira do Oeste,RR,2023-09-18
CC0D7F59,Ribeiro S.A.,32.871.012/2691-00,Saúde,Média,Barros de Goiás,AM,2025-01-12
7D31C389,Marques,97.848.018/4514-00,Saúde,Pequena,Castro da Praia,MS,2024-04-22
5A53EBD0,Sampaio,70.482.814/8932-00,Varejo,Pequena,Pereira,RS,2024-02-22
4471C0A6,Castro Martins - ME,88.095.701/5430-00,Indústria,Grande,Porto da Prata,ES,2026-04-30
C545746A,Vargas,11.718.227/8248-00,Educação,Grande,da Conceição,TO,2023-07-21
32FECDEB,Guerra,63.834.657/8713-00,Indústria,Pequena,Azevedo do Oeste,RJ,2024-10-02
DCD42A56,Rezende Monteiro - ME,50.983.930/1031-00,Tecnologia,Média,Casa Grande de da Luz,BA,2024-06-19
A672989C,Souza,18.347.382/9973-00,Educação,Média,Pacheco das Flores,MS,2024-05-07
2EAE5DBC,Moraes Monteiro S/A,63.116.566/7010-00,Saúde,Grande,Camargo,BA,2026-01-31
76612A05,Vieira Rodrigues - ME,51.333.872/6247-00,Indústria,Pequena,Gomes,MG,2025-12-13
75876C41,Moura,78.108.013/2677-00,Indústria,Média,Novaes do Sul,RO,2023-11-26
7F35200B,Vargas,02.606.474/6872-00,Indústria,Média,Camargo da Mata,PA,2024-02-02
65C21445,Abreu,30.980.500/9788-00,Indústria,Pequena,Montenegro da Serra,PE,2023-11-14
7D7C275E,Porto,81.219.136/1939-00,Financeiro,Pequena,Cassiano,MS,2024-02-07
4E9414EC,Peixoto Ltda.,91.699.854/3534-00,Saúde,Pequena,Almeida de Camargo,MS,2024-09-21
E385EF60,Araújo da Costa - EI,47.510.799/1183-00,Financeiro,Média,Barros,SC,2025-06-25
0C17F01C,Teixeira - EI,25.135.427/8498-00,Tecnologia,Grande,Cardoso,RO,2025-06-09
