line_item_id,deal_id,tipo_cobranca,valor,incremento,decremento,valor_liquido
85076FCA,DB8E4FBB-8,Licença,47957.58,3598.37,1508.13,50047.82
A7C891B4,DB8E4FBB-8,Implantação,36421.56,5320.37,2559.19,39182.74
F1485608,DB8E4FBB-8,MRR,16900.25,2272.69,851.06,18321.88
031879BE,4F4E94FE-9,MRR,29565.19,1694.58,1733.58,29526.19
F13ADF98,4F4E94FE-9,MRR,14860.91,337.8,688.22,14510.49
D56FE79D,25CE3208-C,Setup,44277.9,5363.0,2896.75,46744.15
844D86B8,6BCC9B76-A,Suporte,26056.89,2848.23,1697.33,27207.79
0E411E5B,6BCC9B76-A,Licença,22650.27,445.75,658.76,22437.26
CEA94D8D,EDB9B4FD-B,MRR,44588.66,5177.91,1728.41,48038.16
B1D12CFE,EDB9B4FD-B,Setup,49851.97,4538.1,4775.9,49614.17
9E115148,EDB9B4FD-B,Suporte,31575.59,2356.44,2540.97,31391.06
5317248F,EDB9B4FD-B,Setup,38432.71,1784.48,3334.17,36883.02
59D02998,67E9880E-E,Implantação,5158.64,242.75,481.85,4919.54
4384BD13,6AC67D2C-6,MRR,14365.81,782.93,128.19,15020.55
864EECE1,6AC67D2C-6,Setup,35677.42,2465.71,3518.3,34624.83
61AEA395,FDA8AEE4-3,Implantação,32689.46,688.67,405.24,32972.89
02FAE8F6,FDA8AEE4-3,Suporte,24668.82,1344.96,707.07,25306.71
E2CC6011,FDA8AEE4-3,Implantação,42921.55,5904.76,553.62,48272.69
F8D64A44,0B5EFCEC-8,Suporte,42319.36,6043.49,1581.4,46781.45
15687D2B,0B5EFCEC-8,Implantação,25544.15,1007.06,2236.48,24314.73
12B69B8A,0B5EFCEC-8,MRR,31220.38,3015.26,2313.56,31922.08
CDB797A5,48C945FD-B,Suporte,893.18,114.29,25.96,981.51
739A8F85,48C945FD-B,Setup,28721.62,3678.5,640.64,31759.48
AB62F1C7,BA6D0E13-6,MRR,17772.43,1248.93,951.03,18070.33
74FB2108,BA6D0E13-6,Implantação,5901.39,159.58,63.94,5997.03
E4174C14,BA6D0E13-6,Implantação,38526.72,1152.74,1266.45,38413.01
7EE01292,BA6D0E13-6,Licença,17449.97,1581.93,371.05,18660.85
C41EB0B8,F20C2D09-E,MRR,14279.57,82.0,222.39,14139.18
95672B35,F20C2D09-E,Implantação,7702.93,246.65,437.69,7511.89
6FF097FA,F20C2D09-E,Suporte,38823.17,363.39,3138.98,36047.58
7349AE1A,F20C2D09-E,Implantação,48938.76,1566.68,1035.02,49470.42
FF45DCC1,C376D4D4-4,Implantação,13857.48,1321.35,115.84,15062.99
7AD58B32,319DD3BE-6,Licença,20550.89,919.66,1463.65,20006.9
CD6F0C21,D4BB4C02-5,Suporte,11098.19,1486.72,204.29,12380.62
B03EEFEA,D4BB4C02-5,MRR,5075.84,686.49,173.6,5588.73
281FA991,D4BB4C02-5,Licença,8644.4,452.89,362.29,8735.0
52E9575F,D4BB4C02-5,Implantação,27007.56,3175.51,2607.82,27575.25
252623F5,FF1152BD-6,Licença,45673.59,3907.26,3759.01,45821.84
9750524C,FF1152BD-6,Suporte,39262.08,3516.68,305.49,42473.27
1ECB5C0B,FF1152BD-6,Suporte,31017.36,1506.2,3059.45,29464.11
D3B370D3,FF1152BD-6,Licença,1202.25,161.67,112.27,1251.65
47900665,D29E932B-2,Licença,6123.54,890.95,248.85,6765.64
2D7A00DE,D29E932B-2,Suporte,36253.16,5374.02,3419.85,38207.33
35FD25E3,D29E932B-2,Setup,31897.51,3056.98,1844.88,33109.61
D68FA2A4,D29E932B-2,MRR,11321.83,1662.67,475.72,12508.78
818640BC,B6D77A81-4,Suporte,19189.05,1001.91,1827.52,18363.44
9411D421,B6D77A81-4,Suporte,47777.67,2653.5,1738.13,48693.04
35791E3D,29D92826-7,Licença,25353.22,3300.07,1772.99,26880.3
77FD3197,29D92826-7,Implantação,20995.66,1107.72,1738.83,20364.55
A18514DD,29D92826-7,Implantação,26396.91,3029.37,299.29,29126.99
E7083CFC,F2072B7C-B,Implantação,21704.99,575.93,1291.21,20989.71
D24E39DB,F2072B7C-B,Suporte,22075.87,943.84,1456.14,21563.57
6BED171D,E8B17B4B-4,Licença,35253.58,4959.66,3193.56,37019.68
912AD739,E8B17B4B-4,MRR,49770.48,6016.8,516.68,55270.6
5B388418,E8B17B4B-4,MRR,31004.89,1912.75,1539.1,31378.54
232E2FB6,E8B17B4B-4,Suporte,46397.83,693.89,2060.54,45031.18
7252A719,3A622FC6-D,Licença,42659.41,1355.74,3314.13,40701.02
2A167AFD,30BAC319-9,MRR,10180.23,717.06,126.68,10770.61
82D76434,30BAC319-9,Implantação,20940.27,2576.97,1473.85,22043.39
2B83EFB1,30BAC319-9,Implantação,876.45,49.25,19.63,906.07
A4432D70,30BAC319-9,Licença,13746.65,1358.2,422.57,14682.28
EE763546,1CC2CE02-6,Setup,705.8,96.24,2.31,799.73
6D60035F,1CC2CE02-6,MRR,8092.08,454.46,660.89,7885.65
C7F40601,1CC2CE02-6,Suporte,16214.81,414.48,927.79,15701.5
4D4758A5,1CC2CE02-6,Implantação,12470.64,1821.01,240.26,14051.39
74FECC20,CC594F0E-D,MRR,40165.92,3481.5,517.62,43129.8
3DB47F81,CC594F0E-D,Implantação,48879.1,1273.67,4419.51,45733.26
BBD993C0,CC594F0E-D,Suporte,8342.96,289.05,592.37,8039.64
136ABB90,CC594F0E-D,Setup,25460.72,2411.54,1996.84,25875.42
2886E6D6,64245C9A-9,Suporte,8373.13,404.93,78.08,8699.98
E42E752F,64245C9A-9,MRR,22152.34,2089.72,1314.27,22927.79
655AE427,64245C9A-9,MRR,31095.93,2535.9,3023.77,30608.06
E9D3530D,162B038B-6,MRR,37245.81,729.35,1689.87,36285.29
A68A94C2,162B038B-6,Licença,9734.48,952.8,215.87,10471.41
A04C3FAF,162B038B-6,Setup,27003.15,993.4,2106.32,25890.23
71FB68DF,162B038B-6,Implantação,38634.38,3820.5,1062.31,41392.57
92A93F57,07E6DC06-1,MRR,32100.14,2789.6,331.98,34557.76
1B66F81A,07E6DC06-1,Implantação,46396.35,853.82,658.06,46592.11
CBCAAF47,2668F5B9-E,Setup,5092.47,377.54,184.04,5285.97
8D6E8F42,2668F5B9-E,Setup,19844.61,1461.67,43.57,21262.71
295C572F,2668F5B9-E,MRR,24582.61,2307.14,516.96,26372.79
D1FD3E8E,8F09526C-E,Implantação,44540.82,4232.84,2008.25,46765.41
42D4DEF1,8F09526C-E,Setup,9400.42,14.3,167.96,9246.76
7129E737,8F09526C-E,Suporte,31745.06,4070.39,372.07,35443.38
DD35D9D9,8F09526C-E,Licença,49690.11,3606.84,3051.0,50245.95
6C6782C4,97648F0E-B,Setup,26326.55,1005.02,320.11,27011.46
8F1C3720,A091886E-D,Suporte,1640.39,125.92,24.99,1741.32
753B4D7E,DE772BC1-F,MRR,44979.33,199.02,623.26,44555.09
1C7738E9,DE772BC1-F,MRR,36523.32,5148.96,977.33,40694.95
